OBJECTID,TRACT,ID2,GEO_ID,NAME,ID,TOTALPOP,P_POC,P_CHILD,P_ELDERLY,P_POVERTY,P_DISABILITY,P_LIMENG,ASTHMA,CHD,OBESITY,HSI,P_TREECOVER,P_NOTREE,P_IMPSURF,AIRTEMP_MEAN,HEI,HSEI,GIS_ID,SE_ANNO_CAD_DATA,GLOBALID,CREATOR,CREATED,EDITOR,EDITED,SHAPEAREA,SHAPELEN
27,002202,11001002202,1400000US11001002202,"Census Tract 22.02, District of Columbia, District of Columbia",41,3223,80.9,15.2,7.7,27,6.9,6.8,10.5,4.3,29.9,0.37860549,0.36548472,0.63451528,33.9617258,35.69082447,0.62850089,0.50355319,HSEIPly_5,,{11F8E066-5A17-4F7D-9C11-18E054375A0C},,,,,0,0
28,002201,11001002201,1400000US11001002201,"Census Tract 22.01, District of Columbia, District of Columbia",40,3557,77,3.8,10.6,24,8,6.4,10.3,4.9,29.6,0.3174923,0.20524937,0.79475063,53.93508223,35.54132832,0.71962023,0.51855626,HSEIPly_4,,{EC2E2C8D-DE58-41F2-ACF9-75D0359D0A27},,,,,0,0
29,000904,11001000904,1400000US11001000904,"Census Tract 9.04, District of Columbia, District of Columbia",18,3232,25.9,4.3,26.7,9,10.4,0,9.8,3.4,17.3,0.20318117,0.68226314,0.31773686,30.64434286,32.99597427,0.21195868,0.20756993,HSEIPly_23,,{5CED9DA8-6A7D-4134-8986-24A4C5979096},,,,,0,0
30,001303,11001001303,1400000US11001001303,"Census Tract 13.03, District of Columbia, District of Columbia",25,3433,32.9,1.5,20.4,17,8.2,1.3,8.9,3.3,19.6,0.1813695,0.63087714,0.36912286,25.92819686,33.19317694,0.2327853,0.2070774,HSEIPly_30,,{6247170B-20D5-4ABC-82F0-B8FE7F4607BA},,,,,0,0
31,002501,11001002501,1400000US11001002501,"Census Tract 25.01, District of Columbia, District of Columbia",45,3392,71.8,12,12.4,16,6.3,12.3,10.8,5.4,29.8,0.37833758,0.22539749,0.77460251,56.31742624,35.38077488,0.70326202,0.5407998,HSEIPly_45,,{435D6B9D-6530-465B-9266-A177EE9137A2},,,,,0,0
32,002301,11001002301,1400000US11001002301,"Census Tract 23.01, District of Columbia, District of Columbia",42,3439,76.7,8,14,9,9,5.3,10.2,4.1,28.1,0.31929138,0.35272523,0.64727477,51.2318505,35.99311915,0.72692871,0.52311004,HSEIPly_42,,{A4DFBB39-658D-4211-959C-D9403178862C},,,,,0,0
33,009400,11001009400,1400000US11001009400,"Census Tract 94, District of Columbia, District of Columbia",163,5644,78.8,13.4,15.4,13,11.3,0.6,10.7,5.6,30.1,0.38109064,0.3398315,0.6601685,38.06869466,33.98891032,0.4444241,0.41275737,HSEIPly_163,,{5CA8919F-6BC5-4423-887F-9E10107B0867},,,,,0,0
34,002400,11001002400,1400000US11001002400,"Census Tract 24, District of Columbia, District of Columbia",44,4061,66.2,3.3,12,17,8.9,6.3,10.1,4.2,28,0.28409915,0.26801408,0.73198592,56.39987917,35.49897264,0.70682887,0.49546401,HSEIPly_44,,{289ED780-CCCC-4D05-A5F9-B48A5A06A553},,,,,0,0
35,009504,11001009504,1400000US11001009504,"Census Tract 95.04, District of Columbia, District of Columbia",165,3113,72.8,5.1,25.3,21,11.5,3.2,10.6,6,29.2,0.37094805,0.24743481,0.75256519,47.73027672,36.16828276,0.76306127,0.56700466,HSEIPly_165,,{F214C69B-1AF5-4DDD-84E8-8AE92449BFFE},,,,,0,0
36,001002,11001001002,1400000US11001001002,"Census Tract 10.02, District of Columbia, District of Columbia",19,3489,32.7,5.9,5.8,25,2.7,3.8,9.8,2.5,19.3,0.1658878,0.37113182,0.62886818,43.8735849,33.98925368,0.45620749,0.31104765,HSEIPly_24,,{2CEC1F49-4EC6-400B-B460-76AFEB339766},,,,,0,0
37,000903,11001000903,1400000US11001000903,"Census Tract 9.03, District of Columbia, District of Columbia",17,4149,27.3,1.4,7.5,15,7.5,0,9.8,3.4,17.3,0.13111449,0.54515439,0.45484561,30.64434286,33.87410672,0.35269774,0.24190611,HSEIPly_22,,{E2F90EED-94C4-4B2F-A454-E15618B99F04},,,,,0,0
38,002302,11001002302,1400000US11001002302,"Census Tract 23.02, District of Columbia, District of Columbia",43,1624,63.7,1.2,34.6,22,13,0,8.4,13.3,23.3,0.37561052,0.33547226,0.66452774,32.55556337,34.78383477,0.52235038,0.44898045,HSEIPly_43,,{6D5700BB-2E2A-4A24-9548-037D9794DCE6},,,,,0,0
